DATE,TAVG
1/3/17,33
1/4/17,34
1/5/17,20
1/6/17,16
1/7/17,12
1/8/17,9
1/9/17,8
1/10/17,16
1/11/17,33
1/12/17,45
1/13/17,33
1/14/17,21
1/15/17,23
1/16/17,25
1/17/17,32
1/18/17,34
1/19/17,34
1/20/17,33
1/21/17,40
1/22/17,43
1/23/17,39
1/24/17,30
1/25/17,29
1/26/17,36
1/27/17,30
1/28/17,26
1/29/17,26
1/30/17,19
1/31/17,16
2/1/17,29
2/2/17,24
2/3/17,18
2/4/17,15
2/5/17,25
2/6/17,28
2/7/17,32
2/8/17,39
2/9/17,19
2/10/17,15
2/11/17,26
2/12/17,31
2/13/17,26
2/14/17,25
2/15/17,33
2/16/17,21
2/17/17,21
2/18/17,36
2/19/17,47
2/20/17,35
2/21/17,31
2/22/17,44
2/23/17,51
2/24/17,56
2/25/17,56
2/26/17,27
2/27/17,33
2/28/17,43
3/1/17,54
3/2/17,35
3/3/17,20
3/4/17,11
3/5/17,11
3/6/17,28
3/7/17,41
3/8/17,44
3/9/17,40
3/10/17,27
3/11/17,11
3/12/17,11
3/13/17,15
3/14/17,19
3/15/17,13
3/16/17,20
3/17/17,26
3/18/17,26
3/19/17,31
3/20/17,30
3/21/17,38
3/22/17,24
3/23/17,19
3/24/17,32
3/25/17,39
3/26/17,34
3/27/17,39
3/28/17,46
3/29/17,39
3/30/17,34
3/31/17,35
4/1/17,33
4/2/17,38
4/3/17,47
4/4/17,51
4/5/17,46
4/6/17,42
4/7/17,34
4/8/17,34
4/9/17,46
4/10/17,61
4/11/17,65
4/12/17,53
4/13/17,42
4/14/17,45
4/15/17,54
4/16/17,64
4/17/17,55
4/18/17,45
4/19/17,46
4/20/17,51
4/21/17,54
4/22/17,44
4/23/17,47
4/24/17,57
4/25/17,53
4/26/17,57
4/27/17,62
4/28/17,64
4/29/17,60
4/30/17,49
5/1/17,60
5/2/17,54
5/3/17,46
5/4/17,44
5/5/17,47
5/6/17,55
5/7/17,40
5/8/17,39
5/9/17,42
5/10/17,44
5/11/17,46
5/12/17,52
5/13/17,48
5/14/17,47
5/15/17,48
5/16/17,55
5/17/17,69
5/18/17,76
5/19/17,67
5/20/17,53
5/21/17,57
5/22/17,55
5/23/17,56
5/24/17,60
5/25/17,55
5/26/17,55
5/27/17,56
5/28/17,62
5/29/17,57
5/30/17,56
5/31/17,59
6/1/17,58
6/2/17,54
6/3/17,55
6/4/17,51
6/5/17,61
6/6/17,56
6/7/17,53
6/8/17,60
6/9/17,63
6/10/17,66
6/11/17,74
6/12/17,75
6/13/17,75
6/14/17,68
6/15/17,64
6/16/17,63
6/17/17,68
6/18/17,74
6/19/17,69
6/20/17,65
6/21/17,65
6/22/17,65
6/23/17,71
6/24/17,69
6/25/17,63
6/26/17,58
6/27/17,55
6/28/17,58
6/29/17,66
6/30/17,73
7/1/17,71
7/2/17,68
7/3/17,68
7/4/17,67
7/5/17,67
7/6/17,69
7/7/17,69
7/8/17,67
7/9/17,63
7/10/17,67
7/11/17,68
7/12/17,71
7/13/17,71
7/14/17,69
7/15/17,65
7/16/17,66
7/17/17,68
7/18/17,69
7/19/17,73
7/20/17,73
7/21/17,71
7/22/17,70
7/23/17,68
7/24/17,65
7/25/17,61
7/26/17,62
7/27/17,66
7/28/17,68
7/29/17,62
7/30/17,64
7/31/17,69
8/1/17,70
8/2/17,71
8/3/17,68
8/4/17,71
8/5/17,64
8/6/17,60
8/7/17,60
8/8/17,63
8/9/17,64
8/10/17,68
8/11/17,66
8/12/17,68
8/13/17,65
8/14/17,64
8/15/17,68
8/16/17,66
8/17/17,64
8/18/17,72
8/19/17,68
8/20/17,65
8/21/17,69
8/22/17,71
8/23/17,64
8/24/17,60
8/25/17,58
8/26/17,57
8/27/17,57
8/28/17,59
8/29/17,56
8/30/17,58
8/31/17,60
9/1/17,51
9/2/17,50
9/3/17,53
9/4/17,60
9/5/17,65
9/6/17,56
9/7/17,56
9/8/17,52
9/9/17,50
9/10/17,53
9/11/17,55
9/12/17,60
9/13/17,62
9/14/17,65
9/15/17,65
9/16/17,67
9/17/17,69
9/18/17,68
9/19/17,67
9/20/17,67
9/21/17,67
9/22/17,67
9/23/17,67
9/24/17,73
9/25/17,74
9/26/17,74
9/27/17,74
9/28/17,60
9/29/17,50
9/30/17,48
10/1/17,48
10/2/17,52
10/3/17,56
10/4/17,61
10/5/17,65
10/6/17,59
10/7/17,56
10/8/17,48
10/9/17,65
10/10/17,47
10/11/17,59
10/12/17,51
10/13/17,49
10/14/17,57
10/15/17,61
10/16/17,47
10/17/17,41
10/18/17,53
10/19/17,57
10/20/17,55
10/21/17,57
10/22/17,60
10/23/17,59
10/24/17,63
10/25/17,51
10/26/17,42
10/27/17,37
1/1/15,26
1/2/15,33
1/3/15,32
1/4/15,43
1/5/15,52
1/6/15,26
1/7/15,18
1/8/15,15
1/9/15,17
1/10/15,24
1/11/15,24
1/12/15,33
1/13/15,34
1/14/15,13
1/15/15,21
1/16/15,28
1/17/15,29
1/18/15,26
1/19/15,40
1/20/15,32
1/21/15,27
1/22/15,25
1/23/15,29
1/24/15,32
1/25/15,37
1/26/15,26
1/27/15,20
1/28/15,17
1/29/15,25
1/30/15,33
1/31/15,29
2/1/15,22
2/2/15,27
2/3/15,27
2/4/15,20
2/5/15,30
2/6/15,17
2/7/15,19
2/8/15,27
2/9/15,33
2/10/15,30
2/11/15,23
2/12/15,29
2/13/15,28
2/14/15,14
2/15/15,22
2/16/15,5
2/17/15,9
2/18/15,22
2/19/15,22
2/20/15,11
2/21/15,11
2/22/15,23
2/23/15,31
2/24/15,9
2/25/15,22
2/26/15,25
2/27/15,19
2/28/15,17
3/1/15,26
3/2/15,24
3/3/15,26
3/4/15,31
3/5/15,37
3/6/15,15
3/7/15,22
3/8/15,27
3/9/15,37
3/10/15,48
3/11/15,48
3/12/15,49
3/13/15,35
3/14/15,46
3/15/15,41
3/16/15,34
3/17/15,48
3/18/15,40
3/19/15,28
3/20/15,33
3/21/15,33
3/22/15,41
3/23/15,25
3/24/15,25
3/25/15,39
3/26/15,44
3/27/15,38
3/28/15,39
3/29/15,25
