STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,CITY
USR0000NSHR,"SHERBURNE NEW YORK, NY US",42.7,-75.5,335.3,4/17/2015,51,",,U",58,"H,,U",39,"H,,U",NEW_YORK
USR0000NSHR,"SHERBURNE NEW YORK, NY US",42.7,-75.5,335.3,4/18/2015,52,",,U",74,"H,,U",35,"H,,U",NEW_YORK
USR0000NSHR,"SHERBURNE NEW YORK, NY US",42.7,-75.5,335.3,4/19/2015,51,",,U",69,"H,,U",29,"H,,U",NEW_YORK
USR0000NSHR,"SHERBURNE NEW YORK, NY US",42.7,-75.5,335.3,4/20/2015,51,",,U",59,"H,,U",42,"H,,U",NEW_YORK
USR0000NSHR,"SHERBURNE NEW YORK, NY US",42.7,-75.5,335.3,4/21/2015,49,",,U",59,"H,,U",38,"H,,U",NEW_YORK
USR0000NSHR,"SHERBURNE NEW YORK, NY US",42.7,-75.5,335.3,4/22/2015,41,",,U",47,"H,,U",34,"H,,U",NEW_YORK
USR0000NSHR,"SHERBURNE NEW YORK, NY US",42.7,-75.5,335.3,4/23/2015,34,",,U",39,"H,,U",30,"H,,U",NEW_YORK
USR0000NSHR,"SHERBURNE NEW YORK, NY US",42.7,-75.5,335.3,4/24/2015,31,",,U",36,"H,,U",26,"H,,U",NEW_YORK
USR0000NSHR,"SHERBURNE NEW YORK, NY US",42.7,-75.5,335.3,4/25/2015,39,",,U",52,"H,,U",23,"H,,U",NEW_YORK
USR0000NSHR,"SHERBURNE NEW YORK, NY US",42.7,-75.5,335.3,4/26/2015,40,",,U",51,"H,,U",25,"H,,U",NEW_YORK
USR0000NSHR,"SHERBURNE NEW YORK, NY US",42.7,-75.5,335.3,4/27/2015,44,",,U",52,"H,,U",36,"H,,U",NEW_YORK
USR0000NSHR,"SHERBURNE NEW YORK, NY US",42.7,-75.5,335.3,4/28/2015,51,",,U",64,"H,,U",39,"H,,U",NEW_YORK
USR0000NSHR,"SHERBURNE NEW YORK, NY US",42.7,-75.5,335.3,4/29/2015,53,",,U",70,"H,,U",33,"H,,U",NEW_YORK
USR0000NSHR,"SHERBURNE NEW YORK, NY US",42.7,-75.5,335.3,4/30/2015,54,",,U",70,"H,,U",32,"H,,U",NEW_YORK
USR0000NSHR,"SHERBURNE NEW YORK, NY US",42.7,-75.5,335.3,5/1/2015,54,",,U",65,"H,,U",42,"H,,U",NEW_YORK
